,Seed,Learning Rate,Dropout Rate,Temperature,Best Training Loss,Best Validation Loss,Epoch,Alpha Max Indices
54,1,0.015,0.7,0.001,0.22005349397659302,0.23278628289699554,0,"[3, 3, 7]"
55,1,0.015,0.8,0.001,0.045597951859235764,0.016882937401533127,13,"[3, 3, 7]"
56,1,0.017,0.2,0.001,0.24272288382053375,0.021844061091542244,6,"[3, 3, 7]"
57,1,0.017,0.3,0.001,0.017096364870667458,0.012859433889389038,23,"[3, 3, 7]"
58,1,0.017,0.4,0.001,0.04102405533194542,0.7487503886222839,4,"[3, 3, 7]"
59,1,0.017,0.5,0.001,0.03236175701022148,0.005592771340161562,16,"[3, 3, 7]"
60,1,0.017,0.6,0.001,0.0077483938075602055,0.0036379520315676928,35,"[3, 3, 7]"
61,1,0.017,0.7,0.001,0.22005349397659302,0.2428228110074997,0,"[3, 3, 7]"
62,1,0.017,0.8,0.001,0.03565380349755287,0.006071676034480333,13,"[3, 3, 7]"
63,1,0.019000000000000003,0.2,0.001,0.12537749111652374,0.12723514437675476,5,"[3, 3, 7]"
64,1,0.019000000000000003,0.3,0.001,0.01772763393819332,0.0038996257353574038,23,"[3, 3, 7]"
65,1,0.019000000000000003,0.4,0.001,0.06039286032319069,1.0208585262298584,4,"[3, 3, 7]"
66,1,0.019000000000000003,0.5,0.001,0.046245358884334564,0.00936154555529356,9,"[3, 3, 7]"
67,1,0.019000000000000003,0.6,0.001,0.18675597012043,0.015338346362113953,6,"[3, 3, 7]"
68,1,0.019000000000000003,0.7,0.001,0.22005349397659302,0.21088916063308716,0,"[3, 3, 7]"
69,1,0.019000000000000003,0.8,0.001,0.4415239989757538,0.01805044151842594,2,"[3, 3, 7]"
70,1,0.021,0.2,0.001,0.024388598278164864,0.40556323528289795,19,"[3, 3, 7]"
71,1,0.021,0.3,0.001,0.018569566309452057,0.004646641667932272,26,"[3, 3, 7]"
72,1,0.021,0.4,0.001,0.08942033350467682,0.9287412166595459,4,"[3, 3, 7]"
73,1,0.021,0.5,0.001,0.1432451605796814,0.025616956874728203,7,"[3, 3, 7]"
74,1,0.021,0.6,0.001,0.16688817739486694,0.043622370809316635,4,"[3, 3, 7]"
75,1,0.021,0.7,0.001,1.2491395473480225,0.0055375536903738976,1,"[3, 3, 7]"
76,1,0.021,0.8,0.001,0.02633797563612461,0.00605552364140749,13,"[3, 3, 7]"
77,1,0.023,0.2,0.001,0.04309573769569397,0.6095786094665527,17,"[3, 3, 7]"
78,1,0.023,0.3,0.001,0.013494675979018211,0.004193935543298721,31,"[3, 3, 7]"
79,1,0.023,0.4,0.001,0.13053880631923676,0.16237902641296387,4,"[3, 3, 7]"
80,1,0.023,0.5,0.001,0.17646150290966034,0.008080761879682541,4,"[3, 3, 7]"
81,1,0.023,0.6,0.001,0.25889185070991516,0.06720343977212906,6,"[3, 3, 7]"
82,1,0.023,0.7,0.001,0.3760300874710083,0.008484222926199436,5,"[3, 3, 7]"
83,1,0.023,0.8,0.001,1.7007110118865967,0.30370140075683594,1,"[3, 3, 7]"
84,1,0.025,0.2,0.001,2.8132691383361816,0.15233148634433746,2,"[3, 3, 7]"
85,1,0.025,0.3,0.001,0.012001569382846355,0.003914183005690575,31,"[3, 3, 7]"
86,1,0.025,0.4,0.001,0.18400466442108154,0.008272245526313782,4,"[3, 3, 7]"
87,1,0.025,0.5,0.001,0.2066042274236679,0.03205326199531555,7,"[3, 3, 7]"
88,1,0.025,0.6,0.001,0.2927923798561096,0.025424497202038765,6,"[3, 3, 7]"
89,1,0.025,0.7,0.001,0.22005349397659302,0.005026217084378004,0,"[3, 3, 7]"
90,1,0.025,0.8,0.001,1.9670578241348267,0.9145287871360779,1,"[3, 3, 7]"
91,1,0.027000000000000003,0.2,0.001,0.006403020117431879,0.05393797904253006,67,"[3, 3, 7]"
92,1,0.027000000000000003,0.3,0.001,0.11183430254459381,0.5537700057029724,3,"[3, 3, 7]"
93,1,0.027000000000000003,0.4,0.001,0.23666681349277496,0.09810955077409744,4,"[3, 3, 7]"
94,1,0.027000000000000003,0.5,0.001,0.22791427373886108,0.015035298652946949,7,"[3, 3, 7]"
95,1,0.027000000000000003,0.6,0.001,0.1253899186849594,0.02895364724099636,3,"[3, 3, 7]"
96,1,0.027000000000000003,0.7,0.001,0.22005349397659302,0.15319086611270905,0,"[3, 3, 7]"
97,1,0.027000000000000003,0.8,0.001,0.010987289249897003,0.004538930952548981,32,"[3, 3, 7]"
98,1,0.029,0.2,0.001,0.006743358913809061,0.006174245849251747,58,"[3, 3, 7]"
99,1,0.029,0.3,0.001,0.11310412734746933,0.09957879781723022,3,"[3, 3, 7]"
100,1,0.029,0.4,0.001,0.024433886632323265,0.005833941977471113,14,"[3, 3, 7]"
101,1,0.029,0.5,0.001,0.24817302823066711,0.05025094747543335,7,"[3, 3, 7]"
102,1,0.029,0.6,0.001,0.014459459111094475,0.008156546391546726,18,"[3, 3, 7]"
103,1,0.029,0.7,0.001,0.22005349397659302,0.7603890299797058,0,"[3, 3, 7]"
104,1,0.029,0.8,0.001,0.2747128903865814,0.3988712430000305,0,"[3, 3, 7]"
