,Seed,Learning Rate,Dropout Rate,Temperature,Best Training Loss,Best Validation Loss,Epoch,Alpha Max Indices
84,1,0.025,0.2,1,0.01606000028550625,0.007915222086012363,27,"[3, 6, 7]"
85,1,0.025,0.3,1,0.331024706363678,0.542762279510498,5,"[3, 6, 7]"
86,1,0.025,0.4,1,0.32669106125831604,0.2857014834880829,5,"[3, 6, 7]"
87,1,0.025,0.5,1,0.25818341970443726,0.037086982280015945,6,"[3, 6, 7]"
88,1,0.025,0.6,1,0.010679684579372406,0.004997343756258488,21,"[3, 6, 7]"
89,1,0.025,0.7,1,0.015285015106201172,0.010992146097123623,16,"[3, 6, 7]"
90,1,0.025,0.8,1,1.9312607049942017,0.029087791219353676,1,"[3, 6, 7]"
91,1,0.027000000000000003,0.2,1,0.1831541806459427,0.22687287628650665,7,"[3, 6, 7]"
92,1,0.027000000000000003,0.3,1,0.3390516936779022,0.3167319893836975,6,"[3, 6, 7]"
93,1,0.027000000000000003,0.4,1,0.35661783814430237,0.11024715006351471,6,"[3, 6, 7]"
94,1,0.027000000000000003,0.5,1,0.013972589746117592,0.008359411731362343,18,"[3, 6, 7]"
95,1,0.027000000000000003,0.6,1,0.009642225690186024,0.006807161029428244,16,"[3, 6, 7]"
96,1,0.027000000000000003,0.7,1,0.21987749636173248,0.004576351959258318,0,"[3, 6, 7]"
97,1,0.027000000000000003,0.8,1,0.011319214478135109,0.007355781737715006,30,"[3, 6, 7]"
98,1,0.029,0.2,1,0.21218140423297882,0.3087683916091919,7,"[3, 6, 7]"
99,1,0.029,0.3,1,0.4064353108406067,0.23791448771953583,6,"[3, 6, 7]"
100,1,0.029,0.4,1,0.4150139093399048,0.11752117425203323,6,"[3, 6, 7]"
101,1,0.029,0.5,1,0.017594922333955765,0.01743265613913536,17,"[3, 6, 7]"
102,1,0.029,0.6,1,0.010502991266548634,0.013442141935229301,16,"[3, 6, 7]"
103,1,0.029,0.7,1,0.017101384699344635,0.009910773485898972,14,"[3, 6, 7]"
